hh_id               itime                                     day
10121         10, 10, 175                52(11), 132(27), 212(43)
10122         10, 10, 100                47(10), 127(26), 207(42)
10123         10, 10, 450                51(11), 131(27), 211(43)
10124         10, 10, 775                55(11), 135(27), 215(43)
10125         10, 10, 350                54(11), 134(27), 214(43)
10126         10, 10, 225                53(11), 133(27), 213(43)
10127         10, 100, 10                54(11), 134(27), 214(43)
10128         10, 275, 10                47(10), 127(26), 207(42)
10129          10, 25, 10                46(10), 126(26), 206(42)
10130         10, 125, 10                50(10), 130(26), 210(42)
10131         10, 475, 10                49(10), 129(26), 209(42)
10132          10, 25, 10                48(10), 128(26), 208(42)
10133         10, 225, 10                47(10), 127(26), 207(42)
10134         10, 450, 10                46(10), 126(26), 206(42)
10135         10, 275, 10                50(10), 130(26), 210(42)
10136          10, 75, 10                49(10), 129(26), 209(42)
10137          10, 75, 10                48(10), 128(26), 208(42)
10138         10, 10, 175                 37(8), 117(24), 197(40)
10139         10, 10, 150                 36(8), 116(24), 196(40)
10140         10, 10, 150                 40(8), 120(24), 200(40)
10141         10, 10, 325                 39(8), 119(24), 199(40)
10142          10, 10, 25                 38(8), 118(24), 198(40)
10143         10, 10, 425                 37(8), 117(24), 197(40)
10144         10, 10, 225                 36(8), 116(24), 196(40)
10145         10, 10, 125                 40(8), 120(24), 200(40)
10146         10, 10, 100                 39(8), 119(24), 199(40)
10147         10, 10, 125                 38(8), 118(24), 198(40)
10148         10, 10, 150                 37(8), 117(24), 197(40)
10149         10, 10, 225                 36(8), 116(24), 196(40)
10150         10, 10, 175                 40(8), 120(24), 200(40)
10151          10, 10, 75                 39(8), 119(24), 199(40)
10152         10, 10, 200                 38(8), 118(24), 198(40)
10153         10, 10, 250                 37(8), 117(24), 197(40)
10154          10, 10, 25                 36(8), 116(24), 196(40)
10155         10, 10, 150                 40(8), 120(24), 200(40)
10156         10, 10, 425                 39(8), 119(24), 199(40)
10157         10, 10, 150                 38(8), 118(24), 198(40)
10158          10, 10, 75                 37(8), 117(24), 197(40)
10159         10, 10, 275                 34(7), 114(23), 194(39)
10160         10, 10, 100                 33(7), 113(23), 193(39)
10161         10, 10, 100                 32(7), 112(23), 192(39)
