hh_id,hh_name,hh_inCDA,hh_size,hh_village-id,,,
10151,17-511-A-0,1,3,117,90,,
10152,17-524-A-0,1,8,117,240,,
10153,17-536-A-0,1,10,117,300,,
10154,17-537-A-0,1,1,117,30,,
10155,17-540-B-0,1,6,117,180,,
10156,17-548-A-0,1,17,117,510,,
10157,17-589-A-0,1,6,117,180,,
10158,17-592-B-0,1,3,117,90,,
10159,17-621-A-0,1,11,117,330,,
10160,17-625-B-0,1,4,117,120,,
10161,17-632-A-0,1,4,117,120,,
10162,17-637-A-0,1,3,117,90,,
10163,17-638-A-0,1,3,117,90,,
10164,17-655-A-0,1,6,117,180,,
10165,17-661-A-0,1,16,117,480,,
10166,17-665-A-0,1,4,117,120,,
10167,17-670-A-0,1,3,117,90,,
10168,17-673-A-0,1,6,117,180,,
10169,17-674-A-0,1,1,117,30,,
10170,17-685-A-0,1,4,117,120,,
10171,17-690-A-0,1,9,117,270,,
10172,17-691-A-0,1,7,117,210,,
10173,17-701-A-0,1,2,117,60,,
10174,17-706-A-0,1,1,117,30,,
10175,17-708-A-0,1,5,117,150,,
10176,17-714-A-0,1,5,117,150,,
10177,18-009-A-0,1,11,118,330,,
10178,18-013-A-0,1,12,118,360,,
10179,18-014-A-0,1,12,118,360,,
10180,18-034-A-0,1,16,118,480,,
10181,18-052-A-0,1,17,118,510,,
10182,18-056-A-0,1,15,118,450,,
10183,18-064-A-0,1,17,118,510,,
10184,18-072-A-0,1,14,118,420,,
10185,18-075-C-0,1,6,118,180,,
10186,18-083-A-0,1,5,118,150,,
10187,18-084-B-0,1,1,118,30,,
10188,18-085-A-0,1,5,118,150,,
10189,18-087-A-0,1,5,118,150,,
10190,18-088-A-0,1,6,118,180,,
10191,18-099-A-0,1,9,118,270,,
10192,18-107-A-0,1,4,118,120,,
10193,18-110-B-0,1,3,118,90,,
10194,18-112-A-0,1,3,118,90,,
10195,18-123-A-0,1,8,118,240,,
10196,18-137-A-0,1,7,118,210,,
10197,18-159-A-0,1,10,118,300,,
10198,18-167-B-0,1,2,118,60,,
10199,18-168-A-0,1,7,118,210,,
10200,18-173-A-0,1,9,118,270,,
10201,18-177-A-0,1,12,118,360,,
10202,18-178-A-0,1,25,118,750,,
10203,18-189-A-0,1,6,118,180,,
10204,18-204-A-0,1,4,118,120,,
10205,18-206-A-0,1,3,118,90,,
10206,18-225-A-0,1,9,118,270,,
10207,18-246-A-0,1,7,118,210,,
10208,18-253-B-0,1,1,118,30,,
10209,18-258-A-0,1,4,118,120,,
10210,18-273-A-0,1,14,118,420,,
10211,18-283-A-0,1,5,118,150,,
10212,18-293-A-0,1,6,118,180,,
10213,18-297-A-0,1,7,118,210,,
10214,18-302-A-0,1,3,118,90,,
10215,18-324-A-0,1,6,118,180,,
10216,19-021-A-0,1,7,119,210,,
10217,19-035-A-0,1,13,119,390,,
10218,19-048-B-0,1,16,119,480,,
10219,19-064-A-0,1,15,119,450,,
10220,19-067-A-0,1,15,119,450,,
10221,19-077-B-0,1,11,119,330,,
10222,19-110-A-0,1,4,119,120,,
10223,19-131-A-0,1,3,119,90,,
10224,19-143-A-0,1,4,119,120,,
10225,19-150-A-0,1,16,119,480,,
10226,19-153-B-0,1,8,119,240,,
10227,19-167-B-0,1,11,119,330,,
10228,19-171-A-0,1,1,119,30,,
10229,19-188-A-0,1,2,119,60,,
10230,19-196-A-0,1,14,119,420,,
10231,19-200-A-0,1,8,119,240,,
10232,19-213-A-0,1,3,119,90,,
10233,19-222-A-0,1,8,119,240,,
10234,19-226-A-0,1,10,119,300,,
10235,19-231-A-0,1,10,119,300,,
10236,19-241-A-0,1,6,119,180,,
10237,19-242-A-0,1,6,119,180,,
10238,19-249-A-0,1,1,119,30,,
10239,19-250-A-0,1,9,119,270,,
10240,19-261-A-0,1,8,119,240,,
10241,19-282-A-0,1,1,119,30,,
10242,19-306-A-0,1,10,119,300,,
10243,19-317-A-0,1,9,119,270,,
10244,19-320-A-0,1,10,119,300,,
10245,19-330-A-0,1,9,119,270,,
10246,19-337-C-0,1,3,119,90,,
10247,19-339-B-0,1,2,119,60,,
10248,19-342-A-0,1,7,119,210,,
10249,19-377-A-0,1,1,119,30,,
10250,19-441-A-0,1,10,119,300,,
10251,19-443-A-0,1,7,119,210,,
10252,19-495-A-0,1,4,119,120,,
10253,19-498-A-0,1,14,119,420,,
10254,19-515-A-0,1,6,119,180,,
10255,19-556-C-0,1,5,119,150,,
10256,19-581-A-0,1,4,119,120,,
10257,19-585-A-0,1,8,119,240,,
10258,19-596-A-0,1,3,119,90,,
10259,19-597-A-0,1,4,119,120,,
10260,19-611-A-0,1,7,119,210,,
10261,19-614-B-0,1,5,119,150,,
10262,19-617-A-0,1,4,119,120,,
10263,19-630-A-0,1,6,119,180,,
10264,20-011-A-0,1,20,120,600,,
10265,20-017-B-0,1,5,120,150,,
10266,20-023-A-0,1,5,120,150,,
10267,20-028-B-0,1,14,120,420,,
10268,20-061-A-0,1,9,120,270,,
10269,20-067-A-0,1,8,120,240,,
