hh_id               itime                                     day
10140         10, 10, 150                               8, 24, 40
10141         10, 10, 325                               8, 24, 40
10142          10, 10, 25                               8, 24, 40
10143         10, 10, 425                               8, 24, 40
10144         10, 10, 225                               8, 24, 40
10145         10, 10, 125                               8, 24, 40
10146         10, 10, 100                               8, 24, 40
10147         10, 10, 125                               8, 24, 40
10148         10, 10, 150                               8, 24, 40
10149         10, 10, 225                               8, 24, 40
10150         10, 10, 175                               8, 24, 40
10151          10, 10, 75                               8, 24, 40
10152         10, 10, 200                               8, 24, 40
10153         10, 10, 250                               8, 24, 40
10154          10, 10, 25                               8, 24, 40
10155         10, 10, 150                               8, 24, 40
10156         10, 10, 425                               8, 24, 40
10157         10, 10, 150                               8, 24, 40
10158          10, 10, 75                               8, 24, 40
10159         10, 10, 275                               7, 23, 39
10160         10, 10, 100                               7, 23, 39
10161         10, 10, 100                               7, 23, 39
10162          10, 10, 75                               7, 23, 39
10163          10, 10, 75                               7, 23, 39
10164         10, 10, 150                               7, 23, 39
10165         10, 10, 400                               7, 23, 39
10166         10, 10, 100                               7, 23, 39
10167          10, 10, 75                               7, 23, 39
10168         10, 10, 150                               7, 23, 39
10169          10, 10, 25                               7, 23, 39
10170         10, 10, 100                               7, 23, 39
10171         10, 10, 225                               7, 23, 39
10172         10, 10, 175                               7, 23, 39
10173          10, 10, 50                               7, 23, 39
10174          10, 10, 25                               7, 23, 39
10175         10, 10, 125                               7, 23, 39
10176         10, 10, 125                               7, 23, 39
10177         10, 10, 275                              13, 29, 45
10178         10, 10, 300                              13, 29, 45
10179         10, 10, 300                              13, 29, 45
10180         10, 10, 400                              13, 29, 45
10181         10, 10, 425                              13, 29, 45
10182         10, 10, 375                              13, 29, 45
10183         10, 10, 425                              13, 29, 45
10184         10, 10, 350                              12, 28, 44
10185         10, 10, 150                              12, 28, 44
10186         10, 10, 125                              12, 28, 44
10187          10, 10, 25                              10, 26, 42
10188         10, 10, 125                              12, 28, 44
10189         10, 10, 125                              12, 28, 44
10190         10, 10, 150                              12, 28, 44
10191         10, 10, 225                              12, 28, 44
10192         10, 10, 100                              12, 28, 44
10193          10, 10, 75                              12, 28, 44
10194          10, 10, 75                              12, 28, 44
10195         10, 10, 200                              12, 28, 44
10196         10, 10, 175                              12, 28, 44
10197         10, 10, 250                              12, 28, 44
10198          10, 10, 50                              12, 28, 44
10199         10, 10, 175                              12, 28, 44
10200         10, 10, 225                              12, 28, 44
10201         10, 10, 300                              12, 28, 44
10202         10, 10, 625                              12, 28, 44
10203         10, 10, 150                              12, 28, 44
10204         10, 10, 100                              11, 27, 43
10205          10, 10, 75                              11, 27, 43
10206         10, 10, 225                              12, 28, 44
10207         10, 10, 175                              11, 27, 43
10208          10, 10, 25                              10, 26, 42
10209         10, 10, 100                              11, 27, 43
10210         10, 10, 350                              11, 27, 43
10211         10, 10, 125                              11, 27, 43
10212         10, 10, 150                              11, 27, 43
10213         10, 10, 175                              11, 27, 43
10214          10, 10, 75                               9, 25, 41
10215         10, 10, 150                              11, 27, 43
10216         10, 10, 175                              16, 32, 48
10217         10, 10, 325                              16, 32, 48
10218         10, 10, 400                              16, 32, 48
10219         10, 10, 375                              16, 32, 48
10220         10, 10, 375                              16, 32, 48
10221         10, 10, 275                              16, 32, 48
10222         10, 10, 100                              16, 32, 48
10223          10, 10, 75                              16, 32, 48
10224         10, 10, 100                              16, 32, 48
10225         10, 10, 400                              16, 32, 48
10226         10, 10, 200                              16, 32, 48
10227         10, 10, 275                              16, 32, 48
10228          10, 10, 25                              15, 31, 47
10229          10, 10, 50                              15, 31, 47
10230         10, 10, 350                              16, 32, 48
10231         10, 10, 200                              16, 32, 48
10232          10, 10, 75                              15, 31, 47
10233         10, 10, 200                              16, 32, 48
10234         10, 10, 250                              16, 32, 48
10235         10, 10, 250                              16, 32, 48
10236         10, 10, 150                              15, 31, 47
10237         10, 10, 150                              15, 31, 47
10238          10, 10, 25                              15, 31, 47
10239         10, 10, 225                              15, 31, 47
10240         10, 10, 200                              15, 31, 47
10241          10, 10, 25                              15, 31, 47
10242         10, 10, 250                              15, 31, 47
10243         10, 10, 225                              15, 31, 47
10244         10, 10, 250                              15, 31, 47
10245         10, 10, 225                              15, 31, 47
10246          10, 10, 75                              15, 31, 47
10247          10, 10, 50                              14, 30, 46
10248         10, 10, 175                              15, 31, 47
10249          10, 10, 25                              13, 29, 45
10250         10, 10, 250                              15, 31, 47
10251         10, 10, 175                              15, 31, 47
10252         10, 10, 100                              15, 31, 47
10253         10, 10, 350                              15, 31, 47
10254         10, 10, 150                              15, 31, 47
10255         10, 10, 125                              15, 31, 47
10256         10, 10, 100                              15, 31, 47
10257         10, 10, 200                              15, 31, 47
10258          10, 10, 75                              15, 31, 47
