hh_id               itime                                    week      Interviewer ID
10001          10, 10, 50                              14, 30, 46             3, 3, 3
10002         10, 10, 350                              14, 30, 46             3, 3, 3
10003          10, 10, 75                              14, 30, 46             3, 3, 3
10004         10, 10, 400                              14, 30, 46             3, 3, 3
10005         175, 10, 10                              46, 14, 30             2, 3, 3
10006         125, 10, 10                              46, 14, 30             2, 3, 3
10007          50, 10, 10                              46, 14, 30             2, 3, 3
10008          25, 10, 10                              43, 11, 27             2, 3, 3
10009         10, 100, 10                              30, 46, 14             2, 2, 3
10010         10, 200, 10                              30, 46, 14             2, 2, 3
10011         10, 200, 10                              30, 46, 14             2, 2, 3
10012         10, 175, 10                              30, 46, 14             2, 2, 3
10013          10, 50, 10                              30, 46, 14             2, 2, 3
10014          50, 10, 10                              44, 12, 28             2, 3, 3
10015         10, 550, 10                              30, 46, 14             2, 2, 3
10016         10, 200, 10                              30, 46, 14             1, 1, 3
10017         10, 175, 10                              30, 46, 14             1, 1, 3
10018         10, 200, 10                              30, 46, 14             1, 1, 3
10019         10, 175, 10                              30, 46, 14             1, 1, 3
10020         10, 200, 10                              30, 46, 14             1, 1, 3
10021         10, 10, 150                              13, 29, 45             3, 3, 3
10022         10, 300, 10                              30, 46, 14             1, 1, 3
10023         10, 10, 400                              13, 29, 45             3, 3, 3
10024         10, 10, 125                              13, 29, 45             3, 3, 3
10025         10, 10, 250                              13, 29, 45             3, 3, 3
10026          75, 10, 10                              45, 13, 29             2, 3, 3
10027         10, 10, 125                              12, 28, 44             3, 3, 3
10028         10, 10, 325                              13, 29, 45             3, 3, 3
10029         200, 10, 10                              45, 13, 29             2, 3, 3
10030          10, 50, 10                              16, 32, 48             1, 1, 1
10031          10, 75, 10                              16, 32, 48             1, 1, 1
10032         150, 10, 10                              32, 48, 16             1, 1, 2
10033         175, 10, 10                              32, 48, 16             1, 1, 2
10034         125, 10, 10                              32, 48, 16             1, 1, 2
10035          75, 10, 10                              32, 48, 16             1, 1, 2
10036          50, 10, 10                              32, 48, 16             1, 1, 2
10037         150, 10, 10                              32, 48, 16             1, 1, 2
10038         200, 10, 10                              32, 48, 16             1, 1, 2
10039         10, 10, 125                              47, 15, 31             1, 3, 3
10040         10, 10, 125                              47, 15, 31             1, 3, 3
10041          10, 10, 75                              47, 15, 31             1, 3, 3
10042         10, 10, 225                              47, 15, 31             1, 3, 3
10043         10, 10, 125                              47, 15, 31             1, 3, 3
10044         10, 10, 100                              47, 15, 31             1, 3, 3
10045         10, 10, 150                              47, 15, 31             1, 3, 3
10046          10, 50, 10                              47, 31, 15             1, 2, 3
10047         10, 10, 125                              47, 15, 31             1, 3, 3
10048         10, 10, 150                              47, 15, 31             1, 3, 3
10049          50, 10, 10                              31, 47, 15             1, 1, 3
10050         10, 150, 10                              47, 31, 15             1, 2, 3
10051         300, 10, 10                              28, 44, 12             1, 1, 3
10052          50, 10, 10                              28, 44, 12             1, 1, 3
10053          75, 10, 10                              28, 44, 12             1, 1, 3
10054         10, 10, 100                              43, 11, 27             1, 3, 3
10055         10, 10, 425                              43, 11, 27             1, 3, 3
10056         10, 10, 175                              43, 11, 27             1, 3, 3
10057         10, 10, 150                              43, 11, 27             1, 3, 3
10058         10, 10, 475                              43, 11, 27             1, 3, 3
10059          25, 10, 10                              27, 43, 11             1, 1, 3
10060         10, 350, 10                              43, 27, 11             1, 2, 3
10061         10, 175, 10                              43, 27, 11             1, 2, 3
10062         100, 10, 10                              27, 43, 11             1, 1, 3
10063         10, 325, 10                              43, 27, 11             1, 2, 3
10064          25, 10, 10                              27, 43, 11             1, 1, 3
10065         100, 10, 10                              27, 43, 11             1, 1, 3
10066         10, 10, 475                               19, 35, 3             1, 1, 2
10067         525, 10, 10                               3, 19, 35             1, 1, 1
10068         175, 10, 10                               3, 19, 35             1, 1, 1
10069          50, 10, 10                               3, 19, 35             1, 1, 1
10070         100, 10, 10                               3, 19, 35             1, 1, 1
10071         10, 10, 125                               18, 34, 2             1, 1, 3
10072         225, 10, 10                               3, 19, 35             1, 1, 1
10073         10, 10, 350                               18, 34, 2             1, 1, 3
10074         550, 10, 10                               3, 19, 35             1, 1, 1
10075         10, 10, 150                               18, 34, 2             1, 1, 3
10076         10, 10, 175                               18, 34, 2             1, 1, 3
