hh_id               itime                                     day      Interviewer ID
10094         350, 10, 10                   3(1), 83(17), 165(33)             1, 1, 1
10095     75, 10, -81, 91          2(1), 83(17), 164(33), 165(33)          1, 1, 1, 1
10096         175, 10, 10                49(10), 127(26), 209(42)             1, 1, 1
10097         225, 10, 10                48(10), 127(26), 209(42)             1, 1, 1
10098         275, 10, 10                47(10), 127(26), 209(42)             1, 1, 1
10099              10, 10                        122(25), 203(41)                1, 1
10100              10, 10                        122(25), 203(41)                1, 1
10101     -3, 228, 10, 10          44(9), 45(9), 122(25), 203(41)          1, 1, 1, 1
10102              10, 10                        122(25), 203(41)                1, 1
10103     26, 223, 10, 10          43(9), 44(9), 122(25), 203(41)          1, 1, 1, 1
10104              10, 10                        122(25), 203(41)                1, 1
10105     106, 18, 10, 10          42(9), 43(9), 122(25), 203(41)          1, 1, 1, 1
10106              10, 10                        122(25), 203(41)                1, 1
10107         10, 275, 10                 121(25), 204(41), 41(9)             1, 1, 2
10108         10, 150, 10                 121(25), 203(41), 41(9)             1, 1, 2
10109         10, 125, 10                 121(25), 201(41), 41(9)             1, 1, 2
10110         10, 150, 10                 121(25), 202(41), 41(9)             1, 1, 2
10111         10, 200, 10                 121(25), 202(41), 41(9)             1, 1, 2
10112         10, 225, 10                 121(25), 201(41), 41(9)             1, 1, 2
10113         10, 10, 100                 121(25), 41(9), 204(41)             1, 2, 2
10114      10, 10, 75, 99        121(25), 41(9), 203(41), 204(41)          1, 2, 2, 2
10115         10, 10, 200                 121(25), 41(9), 203(41)             1, 2, 2
10116         10, 10, 150                 121(25), 41(9), 203(41)             1, 2, 2
10117              10, 10                          36(8), 116(24)                1, 1
10118     10, 10, 420, 54        121(25), 41(9), 202(41), 203(41)          1, 2, 2, 2
10119              10, 10                          36(8), 116(24)                1, 1
10120    10, 428, 221, 10       51(11), 212(43), 213(43), 131(27)          1, 1, 1, 2
10121         10, 175, 10                51(11), 211(43), 131(27)             1, 1, 2
10122         10, 10, 100                46(10), 126(26), 206(42)             1, 1, 1
10123    10, 10, 133, 316       51(11), 131(27), 214(43), 215(43)          1, 2, 2, 2
10124    10, 10, 428, 346       51(11), 131(27), 213(43), 214(43)          1, 2, 2, 2
10125         10, 10, 350                51(11), 131(27), 212(43)             1, 2, 2
10126         10, 10, 225                51(11), 131(27), 211(43)             1, 2, 2
10127         10, 100, 10                52(11), 134(27), 211(43)             1, 2, 2
10128         10, 275, 10                46(10), 129(26), 208(42)             1, 1, 1
10129          10, 25, 10                46(10), 126(26), 208(42)             1, 1, 1
10130         10, 125, 10                46(10), 126(26), 208(42)             1, 1, 1
10131     10, 415, 59, 10       46(10), 128(26), 129(26), 207(42)          1, 1, 1, 1
10132          10, 25, 10                46(10), 126(26), 207(42)             1, 1, 1
