hh_id               itime                                     day
10110          10, 10, 10                 42(9), 119(24), 199(40)
10111          10, 10, 10                 41(9), 118(24), 198(40)
10112          10, 10, 10                 45(9), 117(24), 197(40)
10113          10, 10, 10                 44(9), 116(24), 196(40)
10114          10, 10, 10                 43(9), 115(23), 195(39)
10115          10, 10, 10                 42(9), 114(23), 194(39)
10116          10, 10, 10                 41(9), 113(23), 193(39)
10117          10, 10, 10                 39(8), 112(23), 192(39)
10118          10, 10, 10                 45(9), 111(23), 191(39)
10119          10, 10, 10                 38(8), 110(22), 190(38)
10120          10, 10, 10                53(11), 109(22), 189(38)
10121          10, 10, 10                52(11), 108(22), 188(38)
10122          10, 10, 10                47(10), 107(22), 187(38)
10123          10, 10, 10                51(11), 106(22), 186(38)
10124          10, 10, 10                55(11), 105(21), 185(37)
10125          10, 10, 10                54(11), 104(21), 184(37)
10126          10, 10, 10                53(11), 103(21), 183(37)
10127          10, 10, 10                54(11), 102(21), 182(37)
10128          10, 10, 10                47(10), 101(21), 181(37)
10129          10, 10, 10                46(10), 100(20), 180(36)
10130          10, 10, 10                 50(10), 99(20), 179(36)
10131          10, 10, 10                 49(10), 98(20), 178(36)
10132          10, 10, 10                 48(10), 97(20), 177(36)
10133          10, 10, 10                 47(10), 96(20), 176(36)
10134          10, 10, 10                 46(10), 95(19), 175(35)
10135          10, 10, 10                 50(10), 94(19), 174(35)
10136          10, 10, 10                 49(10), 93(19), 173(35)
10137          10, 10, 10                 48(10), 92(19), 172(35)
10138          10, 10, 10                  37(8), 91(19), 171(35)
10139          10, 10, 10                  36(8), 90(18), 170(34)
10140          10, 10, 10                  40(8), 89(18), 169(34)
10141          10, 10, 10                  39(8), 88(18), 168(34)
10142          10, 10, 10                  38(8), 87(18), 167(34)
10143          10, 10, 10                  37(8), 86(18), 166(34)
10144          10, 10, 10                  36(8), 85(17), 165(33)
10145          10, 10, 10                  40(8), 84(17), 164(33)
10146          10, 10, 10                  39(8), 83(17), 163(33)
10147          10, 10, 10                  38(8), 82(17), 162(33)
10148          10, 10, 10                  37(8), 81(17), 161(33)
10149      10, 10, 10, 10         36(8), 80(16), 160(32), 240(48)
10150      10, 10, 10, 10         40(8), 79(16), 159(32), 239(48)
10151      10, 10, 10, 10         39(8), 78(16), 158(32), 238(48)
10152      10, 10, 10, 10         38(8), 77(16), 157(32), 237(48)
10153      10, 10, 10, 10         37(8), 76(16), 156(32), 236(48)
