village_ivillage_name       village_longitvillage_latit
232      Ira                -4.0467       13.2519      
233      Kaki               -4.01541996   12.755900383 
234      Kale               -3.5344       12.8889      
235      Kalfadougou        -3.9295599461 12.8233995438
236      Kamakadougou       -3.9731       13.2808      
237      Karasso            -3.9993100166 12.5516996384
238      Karekuy            -3.8845798969 12.8775997162
239      Kassekuy           -3.8333       13.0244      
240      Kemenso            -3.9925       12.4775      
241      Kenekuy            -4.1039       12.7086      
242      Kie                -4.1353       13.1003      
243      Kiene              -4.0547       13.0758      
244      Kienekuy           -4.1872       13.0325      
245      Kikwa              -4.2978       13.1336      
246      Kilonkan           -4.2739       13.0786      
247      Kimba              -4.1672       12.9069      
248      Kinikini           -4.1764       12.7572      
249      Kinsere            -3.7028       13.0894      
250      Kira               -4.1917       13.0064      
251      Kodougou           -3.6062800884 12.5204000473
252      KolokaniSirakoro   -4.1214       13.2131      
253      Kolonidara         -4.0225       12.4378      
254      Kolonkan           -4.0731       13.3133      
255      KolonkanGoureDialo -3.8758       13.2792      
256      Kolonkani          -3.9925       13.3406      
257      Kolonkoura         -3.8019       12.7356      
258      KolonkouraDokuy    -4.0886       12.7328      
259      Kolonzo            -4.1808       13.2033      
260      Kombori            -4.1186       13.3206      
261      Komonkuy           -4.0035800934 12.9301996231
262      Konankoira         -3.8916399479 12.8998003006
263      Konkoro            -3.8814       13.2592      
264      Konkuy             -4.1131       12.8347      
265      Kononiba           -4.015999794  12.825799942 
266      Koua               -4.1853       12.8708      
267      Koube              -3.5167       13.0903      
268      Koulerou           -3.7678       12.9864      
269      Koumbara           -4.0333600044 12.7616996765
270      Kouna              -3.9722       13.3722      
271      Kouri              -3.4958       12.7428      
272      Kourkuy            -4.2081       12.9025      
273      Lonani             -3.8686       13.3514      
274      Lounkan            -3.8889       13.16        
275      Madouba            -4.3289       13.1056      
276      Magadian           -3.8786       13.3514      
277      Mahoulena          -4.2647       13.0153      
278      Makuy              -4.0769       12.4378      
279      Mamidara           -4.1744       13.0706      
280      Manekuy            -4.0547       13.1464      
281      Mani               -3.9861700535 12.8360996246
282      Mantamou           -3.9194       13.1039      
283      MariaSenoulo       -3.9844       12.9442      
284      Mariasso           -4.0215802193 12.975399971 
285      MassadougouHienkuy -4.1583       12.8122      
286      Modougou           -4.0311       13.1056      
287      Montionkuy         -4.2053       12.8728      
288      Mouna              -4.1453       13.0381      
289      Mounakoro          -4.1131       12.9703      
290      Nabasso            -3.9592       13.225       
291      Nairena            -4.2008       13.1419      
292      Nia                -4.0903       12.7517      
293      Niako              -3.9186       13.2367      
294      Niankouini         -3.9560000897 12.9743003845
295      Niankuy            -3.8175001144 12.692899704 
296      Nienanou           -3.9536       13.085       
297      Nokuy              -3.5787200928 12.5719003677
298      NounaPeulh         -3.9189       12.8347      
299      NounaSecteur1      -3.8659200668 12.7347002029
300      NounaSecteur2      -3.8631899357 12.7378997803
301      NounaSecteur3      -3.8585000038 12.7375001907
302      NounaSecteur4      -3.8646900654 12.7486000061
303      NounaSecteur5      -3.8617799282 12.7245998383
304      NounaSecteur6      -3.8593599796 12.7243995667
305      NounaSecteur7      -3.8231699467 12.7357997894
306      Ouarokuy           -4.19         12.9928      
307      Ouemboye           -3.9119       13.0947      
308      Oueresse           -3.6508       13.0939      
309      Ouori              -4.0228       13.3739      
310      Oura               -4.0547       13.0967      
311      Ouroko             -4.1553       13.1328      
312      Pampakuy           -3.8536       13.1347      
313      Parakuy            -4.2083       13.1733      
314      Patiarakuy         -3.9170000553 12.7769002914
315      Pia                -4.0711       13.2167      
316      Poro               -4.3133       13.0803      
317      Sadiakono          -4.0739       13.3061      
318      Sadigan            -4.002530098  12.8879003525
319      SaintJean          -3.9015800953 12.82970047  
320      SaintLouis         -4.0181698799 12.8442001343
321      Samekuy            -4.1369       13.0153      
322      Sansambare         -3.9631       13.4489      
323      Sanso              -3.8572       12.7625      
324      Saorokuy           -4.1039       12.9069      
325      Sedougou           -4.1369       13.2439      
326      Sekuy              -3.8667       13.1781      
327      SekuyIra           -3.8519       13.205       
328      Senoulo            -4.2211       13.2122      
329      Siella             -3.53         12.7853      
330      Siewali            -3.875        13.3622      
331      Siguide            -3.9306       13.3233      
332      Sikogo             -3.8861       13.1744      
333      Simbadougou        -3.8301401138 12.8252000809
334      Simbora            -4.1311       12.7356      
335      Soa                -4.0016698837 12.7903003693
336      Sono               -3.4994       12.8186      
337      Soro               -3.4867       12.7878      
338      Souankuy           -3.9628100395 12.9069004059
339      Soudogo            -3.9444       13.2069      
340      Soumoukuy          -4.2447       13.2331      
341      Soun               -4.0914       12.5028      
342      Soune              -4.0878       13.1239      
343      Soye               -4.0367       13.3044      
344      Tangouna           -4.1925       12.49        
345      Teni               -4.0858       12.9431      
346      TeniPeulh          -4.1022       12.9431      
347      Tira               -3.9369       13.1292      
348      Tirakuy            -4.0333299637 12.9003000259
349      Tohani             -3.9056       13.1689      
350      Torokpoto          -3.8758       13.2819      
351      Touba              -4.3206       13.1147      
352      YabanaSako         -3.9678       12.9883      
353      Yalankoro          -3.9214       13.2683      
354      Yallo              -3.9411098957 12.9829998016
355      Yaran              -4.0064       13.4281      
356      Yasso              -4.0317       12.3656      
357      Yevedougou         -3.9664700031 12.9347000122
358      Yoro               -4.1097       13.2819      
359      Yourouma           -4.3114       13.1256      
360      Zampana            -3.4958       12.8078      
361      Zekuy              -4.1583       12.9069      
362      Zoun               -3.9893100262 12.7617998123
