hh_id               itime                                     day      Interviewer ID
10084         150, 10, 10                  10(2), 90(18), 167(34)             2, 5, 6
10085     90, 160, 10, 10            10(2), 6(2), 90(18), 167(34)          1, 2, 5, 6
10086         250, 10, 10                  10(2), 90(18), 167(34)             1, 5, 6
10087     185, 90, 10, 10            9(2), 10(2), 90(18), 167(34)          1, 1, 5, 6
10088         200, 10, 10                   8(2), 90(18), 167(34)             2, 5, 6
10089          25, 10, 10                   7(2), 90(18), 167(34)             3, 5, 6
10090     110, 15, 10, 10             6(2), 7(2), 90(18), 167(34)          3, 3, 5, 6
10091         100, 10, 10                   7(2), 90(18), 167(34)             3, 5, 6
10092     430, 45, 10, 10             6(2), 7(2), 90(18), 167(34)          1, 1, 6, 7
10093         175, 10, 10                   5(1), 85(17), 162(33)             2, 5, 7
10094    125, 225, 10, 10             5(1), 1(1), 85(17), 163(33)          1, 2, 5, 7
10095          75, 10, 10                   1(1), 85(17), 163(33)             3, 5, 7
10096         175, 10, 10                50(10), 127(26), 206(42)             2, 6, 6
10097     148, 77, 10, 10        46(10), 47(10), 210(42), 127(26)          2, 2, 5, 6
10098         275, 10, 10                46(10), 127(26), 206(42)             2, 7, 7
10099         225, 10, 10                 44(9), 123(25), 202(41)             2, 6, 7
10100    100, 100, 10, 10          44(9), 45(9), 123(25), 202(41)          2, 2, 6, 7
10101     127, 98, 10, 10          43(9), 44(9), 123(25), 202(41)          2, 2, 6, 7
10102         225, 10, 10                 43(9), 123(25), 201(41)             2, 6, 7
10103     179, 71, 10, 10          42(9), 43(9), 123(25), 201(41)          2, 2, 6, 7
10104     128, 22, 10, 10          45(9), 41(9), 123(25), 201(41)          2, 3, 6, 7
10105         125, 10, 10                 41(9), 123(25), 201(41)             3, 6, 7
10106     81, 244, 10, 10          41(9), 42(9), 123(25), 201(41)          2, 2, 6, 7
10107         275, 10, 10                 204(41), 43(9), 123(25)             1, 6, 6
10108         150, 10, 10                 205(41), 43(9), 123(25)             2, 6, 6
10109         125, 10, 10                 202(41), 43(9), 123(25)             3, 6, 6
10110         150, 10, 10                 205(41), 43(9), 123(25)             2, 6, 6
10111         200, 10, 10                 203(41), 43(9), 123(25)             2, 6, 6
10112         225, 10, 10                 201(41), 43(9), 123(25)             2, 6, 6
10113         100, 10, 10                 203(41), 43(9), 123(25)             3, 6, 6
10114         175, 10, 10                 204(41), 44(9), 123(25)             2, 6, 6
10115         200, 10, 10                 202(41), 44(9), 123(25)             2, 6, 6
10116         150, 10, 10                 201(41), 44(9), 123(25)             3, 6, 6
10117         125, 10, 10                 197(40), 120(24), 37(8)             3, 4, 5
10118     420, 55, 10, 10        201(41), 202(41), 44(9), 123(25)          1, 1, 6, 6
10119         125, 10, 10                 197(40), 120(24), 37(8)             3, 4, 5
1012083, 429, 138, 10, 10212(43), 213(43), 214(43), 54(11), 134(27)       1, 1, 1, 5, 6
10121         175, 10, 10                214(43), 51(11), 134(27)             2, 6, 6
10122         100, 10, 10                210(42), 49(10), 126(26)             2, 5, 6
10123    291, 159, 10, 10       214(43), 215(43), 51(11), 134(27)          1, 1, 6, 6
10124    429, 346, 10, 10       211(43), 212(43), 51(11), 134(27)          1, 1, 6, 6
10125     270, 80, 10, 10       215(43), 211(43), 51(11), 134(27)          1, 2, 6, 6
10126     79, 146, 10, 10       212(43), 213(43), 51(11), 134(27)          2, 2, 6, 6
10127         100, 10, 10                132(27), 55(11), 211(43)             3, 5, 6
10128    166, 109, 10, 10       126(26), 127(26), 209(42), 46(10)          2, 2, 5, 6
10129          25, 10, 10                128(26), 209(42), 46(10)             3, 5, 6
10130         125, 10, 10                130(26), 209(42), 46(10)             2, 5, 6
10131    199, 276, 10, 10       127(26), 128(26), 209(42), 46(10)          1, 1, 5, 6
10132          25, 10, 10                128(26), 209(42), 46(10)             3, 5, 6
10133         225, 10, 10                127(26), 209(42), 46(10)             2, 5, 6
10134    140, 310, 10, 10       128(26), 129(26), 209(42), 46(10)          1, 1, 5, 6
10135     25, 250, 10, 10       130(26), 126(26), 209(42), 46(10)          1, 2, 5, 6
10136      63, 12, 10, 10       126(26), 127(26), 50(10), 209(42)          3, 3, 5, 5
10137          75, 10, 10                127(26), 209(42), 46(10)             3, 5, 6
10138         175, 10, 10                 198(40), 120(24), 37(8)             2, 4, 5
10139         150, 10, 10                 200(40), 120(24), 37(8)             2, 4, 5
10140         150, 10, 10                 199(40), 120(24), 37(8)             2, 4, 5
10141         325, 10, 10                 199(40), 120(24), 36(8)             1, 4, 5
10142          25, 10, 10                 198(40), 120(24), 37(8)             3, 4, 5
10143         425, 10, 10                 198(40), 120(24), 37(8)             1, 4, 5
10144     199, 26, 10, 10        196(40), 197(40), 120(24), 37(8)          2, 2, 4, 5
10145         125, 10, 10                 196(40), 120(24), 37(8)             3, 4, 5
10146         100, 10, 10                 197(40), 120(24), 37(8)             3, 4, 5
10147         125, 10, 10                 196(40), 120(24), 37(8)             3, 4, 5
10148         150, 10, 10                 200(40), 120(24), 37(8)             2, 4, 5
10149         225, 10, 10                 196(40), 120(24), 36(8)             2, 4, 5
10150         175, 10, 10                 198(40), 36(8), 116(24)             2, 5, 5
10151      65, 10, 10, 10        197(40), 198(40), 36(8), 116(24)          3, 3, 5, 5
10152         200, 10, 10                 197(40), 36(8), 116(24)             2, 5, 5
10153     99, 151, 10, 10        199(40), 200(40), 36(8), 116(24)          1, 1, 5, 5
10154          25, 10, 10                 198(40), 37(8), 116(24)             3, 5, 5
10155      74, 76, 10, 10        198(40), 199(40), 38(8), 116(24)          2, 2, 5, 5
10156         425, 10, 10                 197(40), 38(8), 116(24)             1, 5, 5
10157     124, 26, 10, 10        200(40), 196(40), 38(8), 116(24)          2, 3, 5, 5
