Frame PAW    isLEFT      WHEEL
   6       0.0000 0      +0.0000
   7       0.0000 0      +0.0000
   8       0.0000 0      +0.0000
   9       0.0000 0      +0.0000
  10       0.0000 0      +0.0000
  11       0.0000 0      +0.0000
  12       0.0000 0      +0.0000
  13       0.1850 1      +0.0000
  14       0.3245 1      +0.0000
  15       0.5984 1      +0.0000
  16       0.7082 1      +0.0000
  17       1.0812 1      +0.0000
  18       1.1446 1      +0.0000
  19       1.5473 1      +0.0000
  20       2.1305 1      +0.0000
  21       2.3817 1      +0.0000
  22       3.0597 1      +0.0000
  23       4.4173 1      +0.0000
  24      10.6981 1      +0.0000
  25      14.5106 1      +0.0000
  26       4.3900 1      +0.0000
  27       3.7669 1      +0.0000
  28       3.9769 1      +0.0000
  29       2.8054 1      +0.0000
  30       1.5377 1      +0.0000
  31       0.7435 1      +0.0000
  32       0.9835 1      +0.0000
  33       0.9313 1      +0.0000
  34       0.4856 1      +0.0000
  35       1.2858 1      +0.0000
  36       1.7425 1      +0.0000
  37       2.2373 1      +0.0000
  38       3.4494 1      +0.0000
  39       2.7454 1      +0.0000
  40       2.3156 1      +0.0000
  41       2.1538 1      +0.0000
  42       0.2581 1      +0.0000
  43       0.4160 1      +0.0000
  44       0.3445 1      +0.0000
  45       0.0000 0      +0.0000
  46       0.0000 0      +0.0000
  47       0.0000 0      +0.0000
  48       0.2548 1      +0.0000
  49       0.7595 1      +0.0000
  50       3.0889 1      +0.0000
  51       0.0000 0      +0.0000
  52       0.0000 0      +0.0000
  53       2.0030 1      +0.0000
  54       0.4504 1      +0.0000
  55       0.6371 1      +0.0000
  56       1.1249 1      +0.0000
  57       1.0112 1      +0.0000
  58       0.4666 1      +0.0000
  59       0.2736 1      +0.0000
  60       0.0893 1      +0.0000
  61       0.0000 0      +0.0000
  62       0.0000 0      +0.0000
  63       0.0000 0      +0.0000
  64       0.0000 0      +0.0000
  65       0.0000 0      +0.0000
  66       0.0000 0      +0.0000
  67       0.0000 0      +0.0000
  68       0.0000 0      +0.0000
  69       0.0000 0      +0.0000
  70       0.0000 0      +0.0000
  71       0.0000 0      +0.0000
  72       0.0000 0      +0.0000
  73       0.0000 0      +0.0000
  74       0.0000 0      +0.0000
  75       0.0000 0      +0.0000
  76       0.0000 0      +0.0000
  77       0.0000 0      +0.0000
  78       0.0000 0      +0.0000
  79       0.0000 0      +0.0000
  80       0.0000 0      +0.0000
  81       0.0000 0      +0.0000
  82       0.0000 0      +0.0000
  83       0.0000 0      +0.0000
  84       0.0000 0      +0.0000
  85       0.0000 0      +0.0000
  86       0.0000 0      +0.0000
  87       0.0000 0      +0.0000
  88       0.0000 0      +0.0000
  89       0.0000 0      +0.0000
  90       0.0000 0      +0.0000
  91       0.0000 0      +0.0000
  92       0.0000 0      +0.0000
  93       0.0000 0      +0.0000
  94       0.0000 0      +0.0000
  95       0.0000 0      +0.0000
  96       0.0000 0      +0.0000
  97       0.0000 0      +0.0000
  98       0.0000 0      +0.0000
  99       0.0000 0      +0.0000
 100       0.0000 0      +0.0000
 101       0.0000 0      +0.0000
 102       0.0000 0      +0.0000
 103       0.0000 0      +0.0000
 104       0.0000 0      +0.0000
 105       0.0000 0      +0.0000
 106       0.0000 0      +0.0000
 107       0.0000 0      +0.0000
 108       0.0000 0      +0.0000
 109       0.0000 0      +0.0000
 110       0.0000 0      +0.0000
 111       0.0000 0      +0.0000
 112       0.0000 0      +0.0000
 113       0.0000 0      +0.0000
 114       0.0000 0      +0.0000
 115       0.1124 1      +0.0000
 116       0.3970 1      +0.0000
 117       1.0309 1      +0.0000
 118       1.3007 1      +0.0000
 119       1.2101 1      +0.0000
 120       0.5629 1      +0.0000
 121       0.2079 1      +0.0000
 122       0.7399 1      +0.0000
 123       1.3273 1      +0.0000
 124       1.6604 1      +0.0000
 125       0.9654 1      +0.0000
 126       0.8809 1      +0.0000
 127       1.3587 1      +0.0000
 128       0.9880 1      +0.0000
 129       0.1800 1      +0.0000
 130       0.2347 1      +0.0000
 131       0.8150 1      +0.0000
 132       1.0486 1      +0.0000
 133       1.0663 1      +0.0000
 134       1.0532 1      +0.0000
 135       0.7428 1      +0.0000
 136       0.9707 1      +0.0000
 137       0.4824 1      +0.0000
 138       0.2080 1      +0.0000
 139       0.2688 1      +0.0000
 140       0.7335 1      +0.0000
 141       0.5321 1      +0.0000
 142       0.2595 1      +0.0000
 143       0.5006 1      +0.0000
 144       0.2805 1      +0.0000
 145       0.2822 1      +0.0000
 146       0.2603 1      +0.0000
 147       0.1550 1      +0.0000
 148       0.0000 0      +0.0000
 149       0.0954 1      +0.0000
 150       0.0564 1      +0.0000
 151       0.5570 1      +0.0000
 152       2.4506 1      +0.0000
 153      10.8377 1      +0.0000
 154      14.0969 1      +0.0000
 155       5.1836 1      +0.0000
 156       3.4431 1      +0.0000
 157       1.1403 1      +0.0000
 158       0.0000 0      +0.0000
 159       0.1830 1      +0.0000
 160       0.2662 1      +0.0000
 161       1.3318 1      +0.0000
 162       4.7451 1      +0.0000
 163       5.1509 1      +0.0000
 164       0.0000 0      +0.0000
 165       0.0000 0      +0.0000
 166       0.0000 0      +0.0000
 167       0.0000 0      +0.0000
 168       5.5454 1      +0.0000
 169       0.9833 1      +0.0000
 170       0.4065 1      +0.0000
 171       0.4216 1      +0.0000
 172       0.3683 1      +0.0000
 173       0.1420 1      +0.0000
 174       0.0410 1      +0.0000
 175       0.0000 0      +0.0000
 176       0.0000 0      +0.0000
 177       0.0000 0      +0.0000
 178       0.0000 0      +0.0000
 179       0.1828 1      +0.0000
 180       0.7718 1      +0.0000
 181       1.7635 1      +0.0000
 182       0.0000 0      +0.0000
 183       0.0000 0      +0.0000
 184       0.0000 0      +0.0000
 185       0.0000 0      +0.0000
 186       1.0297 1      +0.0000
 187       0.9263 1      +0.0000
 188       0.9304 1      +0.0000
 189       0.9499 1      +0.0000
 190       0.3893 1      +0.0000
 191       0.1246 1      +0.0000
 192       0.0000 0      +0.0000
 193       0.0000 0      +0.0000
 194       0.0000 0      +0.0000
 195       0.0000 0      +0.0000
 196       0.0000 0      +0.0000
 197       0.0000 0      +0.0000
 198       0.0000 0      +0.0000
 199       0.0000 0      +0.0000
 200       0.0000 0      +0.0000
 201       0.0000 0      +0.0000
 202       0.0000 0      +0.0000
 203       0.0000 0      +0.0000
