hh_id      hh_name    hh_inCDA   hh_size    hh_village-id
10154      17-537-A-0 1          1          117        
10155      17-540-B-0 1          6          117        
10156      17-548-A-0 1          17         117        
10157      17-589-A-0 1          6          117        
10158      17-592-B-0 1          3          117        
10159      17-621-A-0 1          11         117        
10160      17-625-B-0 1          4          117        
10161      17-632-A-0 1          4          117        
10162      17-637-A-0 1          3          117        
10163      17-638-A-0 1          3          117        
10164      17-655-A-0 1          6          117        
10165      17-661-A-0 1          16         117        
10166      17-665-A-0 1          4          117        
10167      17-670-A-0 1          3          117        
10168      17-673-A-0 1          6          117        
10169      17-674-A-0 1          1          117        
10170      17-685-A-0 1          4          117        
10171      17-690-A-0 1          9          117        
10172      17-691-A-0 1          7          117        
10173      17-701-A-0 1          2          117        
10174      17-706-A-0 1          1          117        
10175      17-708-A-0 1          5          117        
10176      17-714-A-0 1          5          117        
10177      18-009-A-0 1          11         118        
10178      18-013-A-0 1          12         118        
10179      18-014-A-0 1          12         118        
10180      18-034-A-0 1          16         118        
10181      18-052-A-0 1          17         118        
10182      18-056-A-0 1          15         118        
10183      18-064-A-0 1          17         118        
10184      18-072-A-0 1          14         118        
10185      18-075-C-0 1          6          118        
10186      18-083-A-0 1          5          118        
10187      18-084-B-0 1          1          118        
10188      18-085-A-0 1          5          118        
10189      18-087-A-0 1          5          118        
10190      18-088-A-0 1          6          118        
10191      18-099-A-0 1          9          118        
10192      18-107-A-0 1          4          118        
10193      18-110-B-0 1          3          118        
10194      18-112-A-0 1          3          118        
10195      18-123-A-0 1          8          118        
10196      18-137-A-0 1          7          118        
10197      18-159-A-0 1          10         118        
10198      18-167-B-0 1          2          118        
10199      18-168-A-0 1          7          118        
10200      18-173-A-0 1          9          118        
10201      18-177-A-0 1          12         118        
10202      18-178-A-0 1          25         118        
10203      18-189-A-0 1          6          118        
10204      18-204-A-0 1          4          118        
10205      18-206-A-0 1          3          118        
10206      18-225-A-0 1          9          118        
10207      18-246-A-0 1          7          118        
10208      18-253-B-0 1          1          118        
10209      18-258-A-0 1          4          118        
10210      18-273-A-0 1          14         118        
10211      18-283-A-0 1          5          118        
10212      18-293-A-0 1          6          118        
10213      18-297-A-0 1          7          118        
10214      18-302-A-0 1          3          118        
10215      18-324-A-0 1          6          118        
10216      19-021-A-0 1          7          119        
10217      19-035-A-0 1          13         119        
10218      19-048-B-0 1          16         119        
